date,track,race_time,runner_number,dog_name,race_id,source,race_url
2026-08-19,Harlow,11:38,6,For Noreen,512836,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512836
2026-08-19,Harlow,11:54,1,Glynnscross Blue,512837,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512837
2026-08-19,Harlow,11:54,3,Headford Gent,512837,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512837
2026-08-19,Harlow,11:54,4,Fairhill Autumn,512837,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512837
2026-08-19,Harlow,11:54,5,Moaning Mai Tai,512837,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512837
2026-08-19,Harlow,11:54,6,Crystal Bubbles,512837,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512837
2026-08-19,Harlow,12:12,1,Lye In Wait,512838,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512838
2026-08-19,Harlow,12:12,2,Moaning Martini,512838,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512838
2026-08-19,Harlow,12:12,3,Dashgrove Sam,512838,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512838
2026-08-19,Harlow,12:12,4,Juke Special,512838,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512838
2026-08-19,Harlow,12:12,6,Skidrow Strongbo,512838,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512838
2026-08-19,Harlow,12:29,1,Salems Lily,512839,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512839
2026-08-19,Harlow,12:29,2,Adamant Breeze,512839,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512839
2026-08-19,Harlow,12:29,3,Fagans Flame,512839,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512839
2026-08-19,Harlow,12:29,4,Come On Babe,512839,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512839
2026-08-19,Harlow,12:29,5,Simply Perfect,512839,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512839
2026-08-19,Harlow,12:29,6,Royston Rubble,512839,Sporting Life,https://www.sportinglife.com/greyhounds/racecards/2026-08-19/harlow/racecard/512839
